drone_id,bateria_restante,temperatura_motor,vibracion_hz
DRN-001,99.37,67.37,5.29
DRN-002,32.55,97.65,21.57
DRN-003,70.82,94.35,29.8
DRN-004,57.33,60.16,21.86
DRN-005,39.76,78.98,5.98
DRN-006,63.92,70.35,24.8
DRN-007,57.96,76.31,21.27
DRN-008,28.78,64.71,18.53
DRN-009,45.1,64.71,7.84
DRN-010,55.76,76.16,28.04
DRN-011,42.9,75.69,18.82
DRN-012,47.61,68.47,8.43
DRN-013,50.12,77.1,29.8
DRN-014,58.59,68.0,28.82
DRN-015,83.06,66.59,25.2
DRN-016,44.16,62.35,20.1
DRN-017,58.59,61.57,17.16
DRN-018,55.14,82.12,10.49
DRN-019,45.1,81.02,27.06
DRN-020,88.71,96.55,21.37
DRN-021,73.02,71.45,9.31
DRN-022,53.88,84.31,25.69
DRN-023,33.8,79.14,22.75
DRN-024,46.98,97.02,10.78
DRN-025,36.94,70.51,15.29
DRN-026,40.39,63.45,24.9
DRN-027,46.67,81.02,9.12
DRN-028,43.22,78.35,17.16
DRN-029,71.76,71.45,25.78
DRN-030,98.12,64.24,11.47
DRN-031,66.75,70.67,17.75
DRN-032,75.84,85.25,11.67
DRN-033,25.02,68.0,25.2
DRN-034,80.86,95.14,15.78
DRN-035,69.25,72.71,5.98
DRN-036,84.94,91.84,6.57
DRN-037,49.18,93.88,26.96
DRN-038,41.33,72.24,20.29
DRN-039,68.31,60.78,22.94
DRN-040,37.25,76.94,23.33
DRN-041,87.45,92.94,11.47
DRN-042,34.43,78.98,24.51
DRN-043,39.14,61.1,7.84
DRN-044,55.14,97.49,24.22
DRN-045,61.73,81.49,15.1
DRN-046,68.94,66.75,21.27
DRN-047,40.71,72.39,5.1
DRN-048,36.0,96.24,20.29
DRN-049,57.02,95.14,18.92
DRN-050,27.22,97.49,13.53
